0	0
1000	0
2000	0
3000	0
4000	0
5000	0
6000	0
7000	-4
8000	-14.2
9000	-26
10000	-44
11000	-61
12000	-63
13000	-78
14000	-85
15000	-110
16000	-113
17000	-117
18000	-120
19000	-122.5
20000	-125
21000	-127
23200	-129
25400	-133
26800	-128
27600	-120
28400	-100
29500	-77
36000	-79
38000	-70
40000	-63
45000	-75
50000	-70
53000	-60
60000	-50
65000	-83
70000	-70
72000	-60
76000	-30
80000	-20
90000	-48
94000	-28
100000	-20
110000	-45
116000	-10
120000	0
